"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"Yorkshire Archaeological Journal","archeo/anthropo","Routledge","For-profit","hybrid","Yorkshire Archaeological & Historical Society","Society","https://www.tandfonline.com/YYAJ","2710","","none"
"Zephyrus","archeo/anthropo","Ediciones Universidad de Salamanca","University Press","diamond_OA","Ediciones Universidad de Salamanca","Uni/Gov","https://revistas.usal.es/index.php/0514-7336/index","0","","none"
"Animal Behaviour","ecology","Elsevier","For-profit","hybrid","Association for the Study of Animal Behaviour","Society","https://www.journals.elsevier.com/animal-behaviour","2740","1.068","none"
"Archives of Sexual Behavior","ecology","Springer","For-profit","hybrid","International Academy of Sex Research","Society","https://www.springer.com/journal/10508","2290","1.149","none"
"Behavior Genetics","ecology","Springer","For-profit","hybrid","Behavior Genetics Association","Society","https://www.springer.com/journal/10519","2390","0.866","none"
"Behavioral Ecology","ecology","Oxford University Press","University Press","hybrid","International Society for Behavioral Ecology","Society","https://academic.oup.com/beheco","3630","1.08","none"
"Hormones and Behavior","ecology","Elsevier","For-profit","hybrid","Society for Behavioral Neuroendocrinology","Society","https://www.sciencedirect.com/journal/hormones-and-behavior","3100","0.97","none"
"Personality and Individual Differences","ecology","Elsevier","For-profit","hybrid","International Society for the Study of Individual Differences","Society","https://www.journals.elsevier.com/personality-and-individual-differences","3000","1.178","none"
"Sociobiology","ecology","Universidade Estadual de Feira de Santana","Non-profit","diamond_OA","Universidade Estadual de Feira de Santana","Uni/Gov","https://periodicos.uefs.br/index.php/sociobiology/about","0","0.379","none"
"African Journal of Wildlife Research","ecology","Southern African Wildlife Management Association","Non-profit","subscription","Southern African Wildlife Management Association","Society","https://sawma.co.za/scope-and-information/","400","0.31","none"
"Animal Conservation","ecology","Wiley","For-profit","hybrid","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/14691795","3550","1.213","none"
"Applied Vegetation Science","ecology","Wiley","For-profit","hybrid","International Association for Vegetation Science","Society","https://onlinelibrary.wiley.com/journal/1654109x","3260","0.74","none"
"Aquatic Ecosystem Health & Management","ecology","Michigan State University Press","University Press","subscription","Aquatic Ecosystem Health and Management Society","Society","https://msupress.org/journals/aquatic-ecosystem-health-and-management/","100","0.336","none"
"Bird Conservation International","ecology","Cambridge University Press","University Press","hybrid","Bird Life International","Non-profit","https://www.cambridge.org/core/journals/bird-conservation-international","2980","0.665","none"
"Chelonian Conservation and Biology","ecology","Allen press","For-profit","hybrid","Chelonian Research Foundation / Turtle Conservation","Non-profit","https://meridian.allenpress.com/ccb/pages/author-instructions","1831","0.335","none"
"Coastal Management","ecology","Taylor & Francis","For-profit","hybrid","Coastal Society","Society","https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=ucmg20","3190","0.69","none"
"Conservation & Society","ecology","Wolters Kluwer Medknow Publications","For-profit","OA","Ashoka Trust for Research in Ecology and the Environment","Uni/Gov","https://www.conservationandsociety.org.in/","540","0.658","none"
"Conservation Biology","ecology","Wiley","For-profit","hybrid","Society for Conservation Biology","Society","https://conbio.onlinelibrary.wiley.com/journal/15231739","2580","2.07","none"
"Conservation Letters","ecology","Wiley","For-profit","OA","Society for Conservation Biology","Society","https://conbio.onlinelibrary.wiley.com/journal/1755263x","2310","3.08","none"
"Conservation Physiology","ecology","Oxford University Press","University Press","OA","Society for Experimental Biology","Society","https://academic-oup-com.inee.bib.cnrs.fr/conphys","2241","0.902","none"
"Conservation Science and Practice","ecology","Wiley","For-profit","OA","The Society for Conservation Biology","Society","https://conbio.onlinelibrary.wiley.com/journal/25784854","1650","0.98","none"
"Ecological Applications","ecology","Wiley","For-profit","hybrid","Ecological Society of America","Society","https://esajournals.onlinelibrary.wiley.com/journal/19395582","3000","1.726","none"
"Ecological Solutions & Evidence","ecology","Wiley","For-profit","OA","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/26888319","2000","","none"
"International Journal of Wildland Fire","ecology","CSIRO publishing","Non-profit","hybrid","International Association of Wildland Fire","Non-profit","https://www.publish.csiro.au/wf","2500","0.878","none"
"International Zoo Yearbook","ecology","Wiley","For-profit","hybrid","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/17481090","3000","0.39","none"
"Invasive Plant Science and Management","ecology","Cambridge University Press","University Press","hybrid","Weed Science Society of America","Society","https://www.cambridge.org/core/journals/invasive-plant-science-and-management/information","2569","0.414","none"
"Journal of Applied Ecology","ecology","Wiley","For-profit","hybrid","British Ecological Society","Society","https://besjournals.onlinelibrary.wiley.com/journal/13652664","2830","1.964","none"
"Journal of Coastal Conservation","ecology","Springer","For-profit","hybrid","Coastal & Marine Union","Non-profit","https://www.springer.com/journal/11852","2290","0.522","none"
"Journal of Threatened Taxa","ecology","Wildlife Information Liaison Development","Non-profit","OA","Wildlife Information Liaison Development","Society","https://www.threatenedtaxa.org/index.php/JoTT/aims_scope","148","0.297","none"
